,id,sex,age_cat,race,priors_count,c_charge_degree,two_year_recid
1252,1913,0,2,1,0,1,0
1254,1915,0,0,1,4,1,1
1255,1916,1,1,0,1,1,0
1256,1917,0,1,0,2,1,0
1257,1919,1,0,0,0,1,1
1258,1921,1,0,1,22,1,1
1259,1923,0,0,0,9,0,1
1260,1924,0,2,1,0,1,1
1262,1926,1,1,0,5,0,0
1266,1930,1,1,0,1,0,0
1267,1931,0,0,0,0,0,0
1268,1938,1,0,0,1,0,0
1269,1939,0,2,0,0,1,1
1270,1941,0,0,1,,0,0
1271,1942,0,0,0,2,0,0
1272,1943,0,2,1,0,1,1
1274,1948,,1,0,4,1,0
1276,1951,0,2,1,1,1,0
1279,1954,0,0,0,1,0,1
1282,1957,0,0,0,0,0,0
1283,1961,,0,0,2,1,1
1288,1971,0,0,1,2,1,0
1289,1972,0,1,0,0,0,0
1290,1974,0,0,1,1,1,0
1292,1976,0,2,0,6,1,1
1293,1980,0,0,1,,1,0
1297,1985,,1,0,2,0,0
1298,1987,,1,0,4,0,0
1299,1990,0,1,1,7,1,1
1300,1991,0,0,1,,1,1
1301,1993,0,0,0,0,1,1
1302,1994,0,0,0,7,0,1
1303,1995,0,1,0,7,1,1
1304,1999,0,0,1,0,0,0
1305,2002,0,1,0,12,0,0
1306,2006,0,2,1,0,1,1
1308,2010,0,0,1,0,0,0
1309,2014,0,0,0,0,0,0
1314,2024,1,1,0,5,1,0
1315,2026,0,0,1,4,1,1
1316,2027,0,0,1,0,1,1
1317,2029,0,0,1,2,1,0
1318,2033,1,1,1,1,1,0
1319,2034,0,0,0,2,1,0
1320,2035,0,0,1,0,1,1
1321,2036,0,0,1,17,1,1
1327,2045,1,2,0,1,0,0
1331,2051,,0,0,0,1,1
1332,2052,0,0,0,2,1,0
1334,2054,0,0,0,0,1,0
1336,2056,0,0,1,6,1,0
1337,2057,0,0,1,15,1,1
1340,2060,0,0,1,3,1,1
1341,2061,0,0,1,1,1,1
1342,2062,0,1,1,1,1,0
1344,2064,0,1,1,8,1,1
1345,2065,0,0,0,2,0,0
1346,2066,0,0,0,6,1,0
1347,2069,0,2,1,0,1,0
1348,2070,0,0,1,2,0,0
1349,2071,0,0,1,11,0,1
1350,2072,1,1,0,1,0,0
1352,2075,1,2,0,0,0,0
1353,2076,0,0,1,,1,1
1354,2077,0,0,1,1,0,0
1355,2078,0,0,0,4,1,1
1356,2079,0,0,1,3,0,0
1357,2083,,2,1,2,1,1
1358,2085,0,0,0,0,1,1
1360,2089,0,0,1,0,1,0
1361,2090,1,2,1,0,0,0
1362,2091,0,1,1,,1,0
1363,2093,1,0,0,0,0,0
1364,2094,0,0,1,1,0,0
1365,2095,0,1,0,0,1,0
1366,2096,0,1,0,17,1,1
1367,2098,1,1,0,0,0,0
1368,2099,1,0,1,1,1,0
1369,2100,0,0,0,0,0,0
1370,2101,0,0,0,10,1,1
1371,2103,0,0,1,2,1,1
1376,2109,0,0,0,,1,0
1377,2110,0,2,1,3,1,0
1378,2111,0,0,1,0,0,0
1380,2115,0,0,0,0,0,0
1382,2121,1,0,1,4,1,0
1383,2123,0,0,0,1,0,1
1384,2125,0,0,0,7,0,0
1385,2126,0,2,0,5,1,1
1386,2127,0,0,1,16,0,1
1388,2129,0,2,1,0,1,0
1389,2130,0,1,0,2,0,1
1393,2134,0,2,1,1,0,0
1395,2140,1,1,0,1,1,0
1396,2141,0,0,0,0,1,1
1397,2143,1,0,0,0,1,1
1398,2146,0,2,1,1,1,1
1401,2149,0,0,1,0,1,1
1402,2150,0,0,1,3,1,1
1403,2151,0,0,0,2,0,1
1405,2153,0,2,1,3,1,1
1407,2155,0,1,0,15,1,0
1408,2156,,1,0,1,1,1
1410,2159,0,1,0,2,0,0
1411,2161,0,0,0,0,0,0
1412,2162,1,0,1,0,0,0
1413,2163,0,0,0,0,1,0
1414,2165,0,1,1,0,0,1
1415,2166,1,0,1,8,1,1
1417,2169,0,0,0,1,1,0
1418,2170,0,2,1,1,1,0
1419,2171,0,2,1,1,1,0
1420,2176,0,0,0,1,0,1
1421,2178,0,0,1,3,1,1
1424,2181,0,0,1,20,1,1
1425,2182,1,0,1,1,1,1
1426,2183,0,0,1,0,0,0
1427,2184,0,2,0,5,0,1
1428,2186,0,0,0,1,1,1
1429,2188,0,2,1,0,0,1
1431,2193,1,0,0,6,1,1
1433,2195,0,0,1,8,1,1
1434,2196,0,1,1,4,0,0
1436,2198,0,1,0,1,1,0
1437,2201,1,1,0,2,1,0
1439,2206,0,0,1,2,0,0
1441,2208,,0,1,2,1,1
1445,2215,0,2,1,3,1,1
1446,2216,0,0,1,2,1,0
1447,2217,,0,0,3,1,0
1448,2218,,0,1,1,0,0
1450,2221,0,1,0,3,0,1
1451,2222,,1,1,3,0,0
1453,2224,1,2,0,,1,0
1454,2226,0,0,0,2,0,1
1456,2231,0,2,1,12,0,1
1457,2233,0,2,0,3,1,1
1459,2235,0,0,0,6,1,0
1460,2236,0,0,1,4,1,1
1461,2237,0,2,1,4,1,0
1462,2239,1,0,0,7,0,0
1464,2243,0,1,0,0,0,1
1465,2245,1,1,0,1,1,0
1468,2248,1,2,1,1,1,0
1469,2250,0,0,1,15,1,1
1471,2256,0,1,0,0,1,0
1472,2258,1,2,0,0,1,1
1475,2262,0,2,1,0,0,1
1477,2268,1,0,0,5,1,0
1478,2269,1,1,1,1,1,0
1479,2271,0,0,1,7,1,1
1481,2274,0,1,0,14,0,1
1483,2277,0,0,0,5,0,1
1484,2278,0,1,0,0,0,1
1489,2283,0,0,1,8,0,1
1490,2284,0,0,0,0,0,0
1491,2285,,0,1,7,1,0
1493,2287,0,0,1,,0,1
1494,2289,1,2,0,3,0,1
1495,2290,,0,1,1,1,1
1496,2291,0,1,0,1,0,0
1497,2292,0,0,0,0,1,0
1498,2293,0,0,0,0,1,0
1499,2294,0,2,0,0,1,0
1500,2297,0,2,0,5,1,1
1501,2299,0,0,0,4,1,1
1502,2300,0,1,0,,1,1
1504,2303,1,0,0,0,0,0
1505,2306,0,1,0,1,0,0
1506,2307,0,1,0,11,0,0
1510,2314,0,1,1,3,0,0
1511,2316,0,1,0,0,0,0
1512,2317,0,0,1,6,1,1
1513,2318,0,2,0,0,1,1
1514,2320,1,2,1,0,1,1
1515,2321,0,0,1,7,0,1
1516,2322,0,0,1,15,1,0
1519,2327,0,1,1,14,1,1
1521,2329,,0,1,14,1,1
1522,2332,0,1,0,0,1,0
1524,2335,0,0,1,4,1,1
1527,2339,1,0,0,1,1,1
1529,2343,0,1,0,3,1,0
1531,2349,0,1,1,3,1,0
1532,2350,0,0,1,7,0,1
1533,2352,0,1,1,0,0,0
1534,2353,0,1,0,0,0,0
1536,2355,0,2,1,0,0,1
1537,2356,0,1,0,6,1,1
1538,2357,0,0,1,2,0,0
1540,2361,1,1,0,2,0,1
1541,2363,0,0,0,,1,0
1542,2365,0,1,0,1,1,0
1544,2367,1,0,0,2,1,1
1545,2370,1,0,1,0,0,0
1546,2371,0,0,0,,0,0
1549,2376,0,0,1,14,1,1
1555,2386,0,0,1,0,0,1
1556,2387,,2,0,0,1,1
1558,2389,0,0,1,3,0,0
1559,2390,0,0,1,,1,1
1560,2392,0,0,1,10,1,1
1562,2394,0,0,0,2,1,1
1563,2396,1,1,0,,0,0
1564,2398,1,1,0,1,1,0
1566,2400,0,0,1,,1,0
1567,2401,0,0,1,2,0,0
1568,2402,0,1,1,15,1,1
1570,2405,1,2,1,0,1,0
1571,2406,1,1,1,1,1,0
1573,2408,1,1,0,1,0,0
1575,2411,,0,1,,1,0
1576,2412,0,0,0,,1,0
1578,2416,1,0,0,,0,1
1579,2418,0,1,0,0,1,0
1580,2420,0,0,0,0,0,1
1581,2421,0,0,0,1,0,0
1582,2422,0,0,1,1,1,0
1583,2425,0,0,0,,1,1
1584,2426,0,1,0,5,1,1
1585,2427,0,0,1,9,1,1
1586,2428,0,0,1,12,1,0
1587,2429,0,0,0,1,1,0
1588,2430,0,1,1,,1,1
1589,2431,1,2,0,0,1,0
1590,2432,0,0,1,0,1,0
1593,2439,1,1,1,1,0,0
1595,2442,0,2,1,8,1,1
1597,2444,0,1,1,2,0,0
1598,2445,0,0,1,5,1,1
1599,2446,0,2,0,0,1,1
1601,2451,0,1,0,0,0,0
1602,2453,,1,0,5,0,1
1604,2456,0,0,0,9,1,0
1606,2459,0,0,1,0,1,0
1607,2460,0,1,0,3,1,1
1608,2462,0,0,1,1,0,0
1610,2465,0,0,1,2,1,0
1611,2467,0,0,1,6,1,0
1614,2472,0,0,0,,0,0
1615,2474,0,1,1,,1,1
1617,2476,0,0,1,13,1,1
1618,2477,0,0,0,9,1,1
1620,2479,0,0,1,8,0,1
1621,2480,0,0,1,1,1,0
1623,2484,0,1,0,0,0,0
1624,2485,1,0,1,2,1,0
1625,2486,1,0,0,7,0,0
1627,2488,1,1,0,0,0,1
1630,2493,,0,0,6,1,1
1632,2495,0,2,0,0,1,0
1635,2498,0,1,0,2,0,0
1636,2499,0,1,0,3,1,1
1637,2501,0,2,1,0,1,0
1640,2504,0,2,0,0,0,1
1642,2509,0,2,1,1,1,1
1644,2512,,0,1,21,1,1
1647,2515,0,0,1,,1,0
1648,2516,0,2,1,1,1,0
1653,2521,1,2,1,1,1,0
1654,2523,0,1,1,19,1,0
1656,2525,,0,0,0,1,0
1657,2526,0,1,0,0,0,0
1658,2527,0,0,1,6,1,1
1659,2529,0,0,1,0,0,1
1660,2530,0,2,1,0,1,1
1661,2532,,0,1,,0,0
1662,2533,0,2,0,0,0,1
1663,2534,0,1,0,1,1,1
1665,2537,1,0,1,0,0,0
1666,2538,0,1,0,1,0,0
1667,2539,1,0,1,4,0,1
1668,2540,0,2,0,0,1,0
1669,2541,0,1,0,1,1,0
1670,2542,0,0,1,6,1,1
1671,2543,0,0,1,24,1,0
1672,2544,0,0,0,13,1,1
1674,2548,0,0,1,,1,1
1676,2550,0,0,0,0,1,0
1677,2554,1,1,0,8,1,0
1680,2560,0,2,0,0,1,1
1681,2561,1,0,0,2,1,1
1684,2566,0,0,1,2,0,0
1685,2567,,0,0,,0,0
1686,2568,0,1,1,14,1,1
1687,2569,0,0,0,,0,0
1689,2572,1,0,1,2,1,1
1690,2573,1,0,0,4,1,1
1691,2574,0,2,0,2,1,0
1692,2575,,0,0,1,1,1
1693,2576,0,2,0,1,1,1
1695,2579,,0,1,,0,0
1696,2580,0,1,0,,1,0
1698,2582,,1,0,5,0,0
1699,2583,1,0,0,4,1,0
1700,2584,0,2,1,3,1,0
1701,2586,,0,0,,1,0
1705,2592,,0,0,0,0,1
1706,2593,,0,1,3,1,0
1707,2594,0,1,1,1,1,0
1710,2602,0,1,1,6,1,0
1713,2606,0,0,1,10,1,0
1714,2607,1,1,0,0,0,0
1715,2608,,0,1,0,0,1
1716,2609,0,0,1,9,1,0
1717,2610,0,1,1,1,1,0
1718,2611,1,0,1,1,0,0
1719,2612,0,0,1,,1,0
1720,2613,0,1,0,0,1,0
1721,2614,0,0,0,6,1,0
1725,2619,0,0,1,3,1,0
1726,2620,0,0,1,,0,1
1727,2621,0,0,0,1,1,1
1728,2623,,0,1,8,1,0
1731,2630,0,0,1,8,1,0
1732,2632,0,1,0,4,1,0
1733,2633,0,1,1,15,1,1
1734,2634,0,0,0,7,1,1
1735,2637,,0,0,7,1,1
1736,2638,0,2,0,0,0,0
1737,2639,0,0,1,0,0,0
1740,2643,0,0,0,0,1,0
1741,2644,0,0,0,1,0,1
1743,2649,0,1,0,1,1,0
1744,2650,1,0,1,0,1,0
1747,2654,0,0,1,,0,0
1748,2655,0,2,1,0,1,0
1749,2656,0,1,0,1,1,0
1751,2658,0,0,0,2,1,0
1752,2661,,0,0,11,1,1
1753,2662,0,2,1,2,1,0
1755,2666,1,0,1,5,1,1
1756,2667,0,2,0,0,1,0
1757,2668,1,0,0,3,1,0
1758,2669,0,1,0,,0,0
1759,2671,0,0,1,7,1,1
1761,2673,0,2,1,1,1,0
1762,2676,0,0,0,2,1,1
1763,2677,0,2,0,2,1,0
1764,2678,0,2,1,0,0,0
1765,2679,1,0,0,0,0,0
1766,2680,0,0,1,0,1,0
1768,2682,0,0,1,1,1,0
1769,2683,0,1,0,,0,0
1770,2685,1,2,1,0,1,0
1772,2687,0,1,0,0,0,0
1773,2688,0,0,1,3,1,1
1775,2690,1,1,0,4,1,1
1776,2691,0,1,1,0,0,0
1778,2696,0,0,1,2,1,0
1780,2698,1,1,0,0,1,1
1781,2700,0,2,1,0,1,0
1783,2704,0,0,1,0,1,1
1785,2707,,0,0,6,1,0
1786,2708,0,0,1,5,0,0
1787,2711,0,0,0,0,1,1
1788,2713,0,0,0,4,0,0
1790,2716,0,0,0,5,1,1
1791,2718,1,0,1,0,1,1
1792,2719,0,2,1,1,1,1
1796,2723,0,0,1,4,1,1
1797,2724,0,1,0,6,1,1
1799,2730,0,2,1,3,1,1
1801,2732,0,1,1,23,1,1
1804,2736,0,0,0,14,1,1
1805,2737,0,0,1,9,1,1
1807,2740,0,0,1,8,1,1
1808,2742,1,0,0,3,1,1
1809,2745,0,0,0,0,1,0
1810,2746,0,1,0,1,0,1
1811,2747,0,2,0,2,1,1
1812,2748,0,0,0,0,0,0
1816,2752,0,1,0,,0,0
1817,2753,0,0,1,5,1,1
1818,2754,1,0,0,0,0,0
1820,2759,0,0,0,6,0,0
1821,2760,0,0,1,2,1,0
1822,2762,0,2,1,3,1,1
1823,2764,0,0,0,2,0,0
1824,2765,1,0,1,0,0,0
1825,2766,0,0,1,8,1,1
1826,2767,0,1,0,2,0,1
1828,2771,0,0,0,,0,0
1829,2772,0,2,1,2,0,1
1830,2773,1,1,1,14,0,1
1831,2775,0,0,0,9,0,1
1832,2776,0,0,0,9,0,0
1833,2777,0,0,1,1,0,0
1834,2779,1,1,0,3,1,0
1835,2780,0,1,0,0,0,0
1836,2782,0,0,1,19,0,1
1837,2786,0,0,1,1,1,0
1839,2788,0,1,0,0,1,0
1841,2790,0,0,0,0,0,0
1842,2792,0,0,1,5,0,0
1844,2794,0,0,0,4,0,1
1845,2797,0,0,1,0,0,1
1846,2800,0,2,1,0,0,0
1847,2802,,0,0,0,0,0
1848,2804,0,0,1,10,0,1
1849,2805,0,1,1,4,1,0
1851,2808,0,0,1,1,1,0
1853,2813,,0,1,8,0,1
1854,2814,0,0,0,5,0,1
1855,2817,0,0,0,1,1,0
1857,2820,0,1,0,0,0,0
1858,2821,1,0,0,3,1,0
1860,2825,0,2,0,1,1,1
1861,2828,1,2,1,0,0,1
1863,2830,0,1,1,4,1,0
1865,2835,0,0,0,10,1,1
1868,2841,,2,0,3,0,0
1869,2842,0,2,1,,1,1
1870,2843,0,0,0,0,0,0
1872,2845,0,1,0,10,1,1
1873,2846,,0,0,1,1,1
1874,2848,0,2,0,0,0,1
1876,2852,0,0,1,0,1,0
1877,2854,0,0,1,19,1,1
1878,2855,,0,1,1,0,1
1880,2857,0,0,1,2,1,0
1881,2859,0,0,0,11,1,1
1882,2860,0,0,1,0,1,0
1883,2862,0,0,1,1,1,1
1885,2864,,0,1,,1,1
1886,2865,0,2,1,2,1,1
1887,2867,0,0,0,0,1,0
1888,2868,0,2,0,0,0,0
1892,2873,0,0,0,15,1,1
1893,2874,0,0,1,2,0,1
1894,2875,0,0,1,10,1,1
1895,2876,1,2,1,4,0,1
1896,2879,0,0,0,0,0,0
1897,2880,0,1,0,8,1,0
1898,2882,0,0,0,5,1,1
1899,2883,0,0,1,14,1,1
1902,2887,0,0,1,0,0,0
1903,2890,1,1,1,21,1,1
1905,2892,0,1,1,1,1,0
1906,2893,0,0,1,4,1,0
1907,2896,0,0,1,5,1,1
1908,2897,0,0,0,1,1,1
1909,2898,1,0,0,0,0,0
1910,2899,0,0,0,11,1,1
1912,2901,,0,1,6,1,1
1913,2902,0,0,0,0,0,0
1914,2903,0,0,1,2,1,1
1915,2907,0,2,1,3,1,1
1916,2908,0,2,1,0,1,0
1917,2910,0,0,0,0,0,0
1918,2911,0,0,1,0,0,1
1919,2913,0,0,1,18,0,0
1921,2915,0,0,0,2,1,1
1922,2917,0,0,0,3,0,0
1924,2922,0,1,1,5,0,0
1927,2926,0,2,1,0,1,1
1928,2927,0,0,1,7,1,1
1929,2928,0,0,1,1,0,0
1930,2929,0,2,0,0,1,0
1931,2930,0,0,1,10,0,1
1933,2932,0,0,1,2,1,0
1934,2933,,0,1,8,1,1
1935,2934,0,0,1,1,1,1
1936,2935,0,1,0,0,0,0
1938,2937,0,2,0,0,1,1
1941,2943,0,0,0,0,1,0
1942,2946,0,0,0,1,1,0
1943,2949,0,1,0,1,1,1
1944,2951,0,0,1,0,1,0
1945,2952,0,2,1,0,1,0
1946,2954,0,2,0,0,1,0
1948,2956,0,1,0,9,0,0
1950,2961,0,0,1,0,1,1
1952,2963,0,0,0,0,1,0
1953,2964,0,2,0,1,1,1
1955,2968,0,0,1,4,0,1
1956,2969,0,1,0,3,0,1
1958,2972,0,1,1,0,1,0
1960,2974,0,1,1,,1,1
1962,2977,,1,1,1,0,0
1963,2979,0,0,1,9,1,0
1964,2982,0,1,1,5,1,1
1965,2983,1,0,0,,1,0
1966,2984,0,1,1,5,0,0
1967,2985,0,1,0,0,1,1
1968,2988,0,1,0,2,1,0
1969,2990,0,1,0,0,0,0
1970,2991,0,1,1,4,1,1
1971,2992,1,0,1,0,1,0
1973,2995,0,1,1,16,1,0
1975,2997,0,0,1,21,1,1
1977,3003,0,0,1,1,1,0
1978,3004,0,0,1,8,1,1
1979,3005,0,2,1,,1,0
1980,3008,0,0,0,1,0,1
1982,3010,0,1,0,0,0,0
1983,3014,0,2,1,,1,1
1984,3015,0,1,0,1,0,1
1985,3019,0,1,0,0,0,1
1986,3020,0,1,1,2,1,0
1987,3021,1,0,1,11,1,1
1989,3023,,0,1,,1,1
1993,3030,0,0,1,12,1,0
1994,3031,0,0,0,7,1,1
1995,3032,0,0,1,8,1,0
1998,3035,0,0,0,4,1,0
2001,3038,1,1,0,7,0,0
2002,3039,0,0,0,1,1,1
2004,3041,,0,0,0,0,1
2005,3042,1,0,1,4,0,0
2006,3043,0,0,1,3,1,0
2007,3046,0,0,1,4,1,0
2008,3051,0,1,1,0,0,0
2009,3053,0,0,1,2,0,0
2010,3055,0,1,1,5,1,0
2011,3056,0,0,1,0,1,0
2012,3057,0,0,1,4,1,1
2013,3058,0,0,1,0,0,0
2014,3064,0,0,0,1,0,0
2015,3066,1,0,1,1,1,0
2016,3067,0,0,1,13,0,1
2017,3068,0,0,1,9,1,0
2018,3069,,0,0,1,1,0
2019,3071,1,0,1,,1,1
2020,3074,0,0,0,0,1,0
2021,3075,0,1,0,5,0,0
2022,3078,1,0,0,1,0,0
2023,3081,0,0,1,3,1,0
2024,3084,1,1,1,7,0,0
2025,3085,0,2,1,,1,0
2027,3087,0,0,1,2,1,1
2029,3090,0,0,1,1,1,0
2030,3093,1,2,0,1,1,0
2031,3094,0,0,1,13,0,1
2033,3101,0,0,1,,1,0
2035,3107,0,1,0,0,0,0
2036,3110,0,2,0,0,0,1
2037,3111,0,0,1,6,0,0
2042,3116,,2,1,1,1,1
2043,3117,0,2,1,3,1,1
2044,3118,0,0,1,2,0,0
2046,3122,0,1,0,2,0,0
2051,3134,0,2,1,1,0,1
2052,3135,0,0,1,7,1,0
2053,3136,1,0,0,0,0,0
2054,3137,0,1,0,2,0,0
2055,3138,,0,1,11,1,1
2057,3143,0,0,0,6,1,1
2059,3145,0,0,1,7,1,1
2061,3152,1,0,0,7,1,0
2062,3153,0,0,0,0,1,0
2065,3156,0,1,0,4,1,0
2066,3157,0,2,0,0,1,0
2067,3158,0,0,1,1,1,0
2068,3159,0,0,0,0,1,0
2071,3162,0,0,0,7,0,1
2072,3163,0,0,0,,0,0
2074,3165,0,0,0,2,1,1
2075,3166,0,2,0,0,1,1
2076,3168,0,0,1,,1,1
2077,3169,0,1,0,,0,0
2078,3170,1,0,1,0,0,1
2080,3175,0,1,0,1,0,1
2081,3176,0,0,1,4,1,0
2083,3178,0,2,0,5,1,1
2084,3181,0,2,0,0,1,1
2085,3182,0,0,1,,1,0
2086,3183,0,0,1,1,1,1
2087,3186,1,0,0,2,1,0
2089,3189,0,0,1,23,1,1
2090,3190,0,2,1,0,1,0
2091,3191,0,0,1,4,1,0
2092,3192,0,0,0,0,0,0
2095,3200,0,0,1,1,1,1
2096,3203,1,2,0,,1,0
2098,3205,0,1,0,2,0,0
2099,3206,0,0,1,9,1,0
2102,3209,0,2,1,3,1,0
2103,3212,0,0,1,0,1,1
2105,3215,0,1,0,0,0,0
2106,3217,0,0,0,0,1,0
2109,3223,,1,0,9,1,1
2112,3227,0,0,0,1,1,1
2113,3229,0,0,0,2,1,0
2115,3232,1,1,1,0,1,0
2116,3234,0,0,0,8,1,0
2117,3236,0,0,1,12,1,1
2118,3237,0,0,0,0,0,0
2120,3240,1,0,1,5,1,0
2121,3242,0,2,1,2,1,0
2122,3243,1,1,1,,1,1
2123,3246,0,0,0,0,0,0
2124,3247,0,0,0,1,1,0
2125,3248,0,1,0,11,1,1
2126,3250,0,1,0,2,1,0
2127,3255,0,1,1,,0,0
2130,3261,1,1,0,1,1,0
2132,3265,1,1,0,0,1,0
2133,3267,0,0,1,0,0,0
2134,3268,,0,0,5,0,1
2136,3272,0,0,1,26,1,1
2137,3273,0,2,1,1,1,1
2141,3281,0,0,0,3,1,1
2142,3283,0,1,0,0,0,0
2143,3284,0,0,0,11,1,1
2148,3289,,0,1,15,1,0
2149,3290,0,0,1,,1,0
2152,3293,1,0,0,0,1,0
2155,3298,0,0,0,6,0,0
2157,3300,0,1,0,13,1,1
2158,3301,1,0,1,0,0,0
2159,3302,1,0,0,,1,1
2160,3304,0,0,1,3,1,0
2161,3305,1,1,0,3,1,0
2162,3306,0,0,0,1,0,0
2163,3309,0,0,0,5,1,1
2165,3312,0,1,0,,0,0
2166,3314,,0,0,2,1,0
2167,3315,0,1,0,,0,0
2168,3316,1,0,0,4,0,1
2169,3318,0,1,0,9,1,0
2170,3319,1,0,0,0,1,0
2171,3320,0,2,0,0,1,0
2172,3322,0,2,1,,1,1
2174,3324,0,1,0,0,0,0
2176,3326,0,0,1,4,1,0
2178,3329,0,0,0,0,0,1
2179,3331,0,0,1,3,1,1
2180,3332,0,1,1,1,1,0
2181,3333,0,0,0,3,1,1
2183,3337,0,0,1,14,1,1
2184,3338,0,2,1,0,0,0
2185,3339,,1,0,0,1,0
2186,3340,0,0,1,37,0,1
2188,3342,0,0,1,0,0,1
2189,3343,0,2,1,1,1,1
2190,3344,0,0,1,2,1,1
2191,3345,1,0,0,2,1,0
2192,3347,1,0,1,7,1,1
2193,3348,0,0,0,7,1,1
2194,3349,0,0,1,0,0,1
2196,3351,1,0,1,3,1,1
2197,3354,0,0,1,1,1,1
2198,3356,0,1,0,,1,0
2201,3359,0,0,1,15,1,1
2203,3361,0,0,1,1,1,0
2206,3369,0,2,1,1,1,1
2208,3371,0,2,1,0,1,0
2211,3377,1,0,0,0,1,0
2213,3380,,1,1,1,1,0
2215,3383,0,1,1,10,1,1
2216,3384,0,2,0,1,1,0
2217,3385,0,1,1,7,0,0
2218,3386,0,0,0,6,1,1
2219,3387,0,1,1,1,0,1
2220,3390,0,1,0,0,0,0
2221,3391,1,0,1,9,0,1
2222,3392,0,1,0,0,0,0
2223,3393,0,0,1,10,1,1
2224,3394,0,2,0,3,1,1
2226,3396,0,1,1,0,0,0
2227,3397,,1,1,1,0,0
2228,3398,0,2,1,3,1,1
2229,3399,0,0,1,13,1,0
2231,3403,0,0,1,5,1,1
2232,3404,0,1,1,,1,0
2233,3405,1,0,1,7,1,0
2234,3406,0,2,0,0,0,1
2235,3407,0,1,0,1,0,0
2236,3408,1,2,0,0,1,1
2238,3410,0,1,1,,1,0
2239,3411,1,0,0,0,1,0
2240,3412,0,0,0,0,0,0
2241,3413,0,0,0,0,1,1
2243,3417,0,0,0,3,1,0
2244,3418,0,0,1,3,0,1
2247,3422,,0,0,0,1,1
2248,3423,1,0,0,2,1,0
2250,3426,0,0,1,21,1,1
2251,3427,1,0,0,0,0,0
2252,3429,0,2,1,0,1,1
2253,3431,1,0,1,0,0,0
2254,3434,0,0,1,25,1,1
2255,3437,1,2,0,0,1,0
2256,3438,0,0,0,0,0,1
2257,3439,0,0,0,0,1,0
2258,3440,0,2,1,1,0,1
2259,3441,0,1,0,0,1,1
2261,3444,0,0,0,,1,1
2262,3445,0,0,0,1,0,0
2263,3446,0,0,1,2,0,1
2264,3448,1,0,1,12,1,1
2266,3451,0,1,0,2,0,0
2267,3452,0,0,1,3,1,0
2268,3453,0,1,1,15,1,1
2272,3457,,1,1,1,1,0
2273,3458,0,0,0,1,0,0
2275,3462,0,0,0,1,0,1
2276,3463,,0,0,1,1,0
2277,3464,0,2,0,1,1,1
2279,3468,0,0,1,3,1,1
2281,3474,0,0,0,4,1,1
2282,3475,0,0,0,5,1,0
2285,3480,0,1,1,1,0,0
2286,3481,1,0,1,2,0,1
2287,3483,0,0,0,0,0,0
2288,3484,0,1,1,22,1,1
2289,3485,0,0,1,4,1,1
2290,3487,0,1,0,7,1,0
2291,3488,0,0,0,2,1,0
2292,3489,1,2,1,1,1,0
2294,3492,0,2,1,3,1,0
2295,3493,,0,1,2,1,0
2296,3498,0,0,1,7,1,1
2297,3499,1,0,1,14,1,1
2298,3500,0,0,0,,0,0
2299,3501,0,2,1,6,1,1
2302,3506,0,0,1,7,0,0
2304,3508,1,2,1,0,1,0
2305,3510,0,0,0,10,0,1
2306,3511,0,2,0,0,1,0
2307,3512,0,0,1,5,1,1
2308,3515,0,0,0,4,0,0
2312,3521,0,2,1,1,1,1
2313,3523,0,1,0,1,1,0
2314,3525,0,1,0,5,1,0
2317,3531,1,0,0,2,1,0
2318,3533,0,0,0,8,1,1
2319,3534,0,1,0,1,0,0
2320,3535,0,0,0,,1,0
2321,3536,0,0,0,0,1,1
2323,3539,0,0,1,3,1,0
2324,3540,0,2,0,0,1,0
2325,3541,,1,1,4,0,0
2326,3542,0,2,0,0,1,1
2327,3543,1,0,0,4,1,1
2330,3547,0,1,1,3,1,0
2331,3550,0,0,1,,1,1
2333,3552,0,0,0,0,0,0
2334,3554,0,1,0,3,1,0
2337,3560,0,0,0,4,1,0
2338,3562,0,1,1,0,1,0
2340,3564,0,0,1,,1,1
2341,3566,0,2,0,1,1,0
2342,3568,0,0,0,9,1,0
2343,3570,0,0,0,0,0,1
2344,3571,0,0,0,1,0,1
2345,3573,0,0,1,1,1,0
2347,3576,0,1,0,4,1,0
2351,3584,0,0,0,0,0,0
2352,3585,0,1,0,1,0,1
2354,3593,0,1,0,,1,0
2356,3596,,1,0,0,1,0
2357,3597,0,2,0,3,0,1
2358,3598,0,0,1,1,1,0
2360,3601,1,0,1,10,0,1
2364,3605,0,0,1,0,1,0
2365,3607,0,1,0,3,0,1
2366,3611,0,1,0,10,1,0
2370,3618,0,0,0,,1,1
2371,3619,0,0,1,4,1,0
2372,3620,1,1,0,0,0,0
2373,3622,0,0,1,3,0,0
2375,3626,0,1,0,0,1,0
2376,3627,0,0,0,16,0,0
2377,3628,0,2,1,4,1,1
2379,3630,0,1,0,,1,0
2380,3631,1,0,0,0,0,0
2381,3634,,0,0,0,1,0
2382,3635,1,2,1,2,1,0
2385,3641,0,0,0,0,0,0
2387,3643,0,2,1,,1,1
2388,3645,,0,0,0,0,0
2389,3646,,0,0,11,1,1
2391,3648,0,1,1,10,1,1
2392,3649,0,0,1,4,1,1
2393,3652,0,0,1,1,1,1
2394,3653,0,0,1,0,1,0
2395,3655,0,1,1,1,1,0
2396,3656,0,2,1,0,0,0
2397,3657,1,0,1,0,0,0
2399,3659,0,1,0,1,1,0
2402,3662,0,0,1,4,1,0
