,sex,age_cat,race,priors_count,c_charge_degree,two_year_recid
1109,Female,Less than 25,0,0,M,0
1110,Female,25 - 45,0,1,F,0
1111,Male,25 - 45,1,0,M,1
1112,Male,Less than 25,1,3,F,1
1113,Male,25 - 45,1,16,F,1
1114,Female,Greater than 45,0,0,M,1
1115,Male,25 - 45,1,10,F,0
1116,Male,25 - 45,1,4,M,1
1118,Male,25 - 45,1,12,M,1
1119,Male,25 - 45,0,0,M,0
1120,Female,25 - 45,0,0,M,0
1121,,25 - 45,0,1,F,0
1122,Male,25 - 45,1,9,F,1
1123,Male,25 - 45,0,11,F,0
1124,Male,25 - 45,1,5,F,1
1126,Male,Greater than 45,1,1,F,1
1127,Male,Greater than 45,0,1,F,1
1129,Female,Greater than 45,1,,F,0
1130,Male,25 - 45,0,7,M,1
1131,Male,25 - 45,1,1,M,1
1132,Male,Greater than 45,1,5,F,0
1133,Male,Greater than 45,0,1,F,0
1134,,Greater than 45,0,6,M,0
1135,Female,25 - 45,0,0,M,0
1136,Male,25 - 45,0,,M,0
1137,Female,Less than 25,1,0,F,0
1141,Male,25 - 45,0,1,M,1
1142,Male,25 - 45,0,3,M,0
1143,Female,Greater than 45,0,0,M,0
1144,Male,Less than 25,0,0,F,1
1145,Female,Greater than 45,0,0,F,0
1146,Male,25 - 45,0,0,M,0
1147,Female,Less than 25,1,0,F,0
1148,Female,Greater than 45,0,1,F,1
1149,Male,25 - 45,0,0,M,0
1150,Male,25 - 45,0,17,M,1
1151,Male,25 - 45,0,4,F,1
1152,Female,25 - 45,0,0,M,0
1153,Male,Less than 25,1,1,M,0
1154,Male,Greater than 45,1,0,F,0
1155,Male,Less than 25,1,2,F,1
1158,Male,Less than 25,0,1,M,0
1160,Female,Less than 25,1,3,F,0
1162,Male,25 - 45,0,3,M,0
1165,Male,Less than 25,1,0,F,0
1167,Male,25 - 45,1,9,F,1
1169,Male,Greater than 45,1,3,F,0
1171,Male,Less than 25,1,0,F,1
1175,Female,Less than 25,1,0,M,0
1176,,25 - 45,0,0,M,0
1177,Male,25 - 45,1,1,M,0
1178,Male,25 - 45,1,4,F,1
1179,Female,25 - 45,0,2,F,1
1183,Female,25 - 45,0,11,F,1
1184,Female,25 - 45,1,,F,1
1186,Male,Greater than 45,1,3,F,0
1187,Female,25 - 45,0,3,M,0
1188,Male,25 - 45,0,2,F,1
1190,Male,Greater than 45,0,2,M,0
1191,Male,25 - 45,1,,F,0
1192,,25 - 45,0,0,F,0
1193,Male,Less than 25,1,0,M,1
1194,Female,25 - 45,1,2,F,0
1196,Male,25 - 45,0,0,F,0
1197,Female,Greater than 45,0,12,F,0
1198,Female,25 - 45,0,1,M,0
1200,Male,Greater than 45,0,8,F,1
1202,Male,Less than 25,1,1,F,0
1203,Male,25 - 45,1,0,M,0
1204,Male,25 - 45,0,0,F,1
1206,Male,25 - 45,1,4,F,1
1207,Male,25 - 45,1,7,F,1
1208,Male,25 - 45,0,0,F,0
1210,Male,Less than 25,0,1,F,0
1211,Female,25 - 45,1,0,M,0
1212,Male,Less than 25,0,1,F,1
1213,Male,25 - 45,1,1,F,1
1214,Male,25 - 45,1,0,M,1
1217,Male,25 - 45,0,0,F,0
1219,Male,Less than 25,1,0,M,0
1220,Male,Greater than 45,0,0,M,0
1221,Male,Less than 25,1,0,F,0
1222,Female,25 - 45,1,2,F,1
1223,Male,25 - 45,1,0,M,0
1224,Female,25 - 45,0,1,F,0
1225,Female,25 - 45,0,1,M,0
1226,Male,25 - 45,0,2,M,1
1227,Female,Greater than 45,0,3,M,0
1228,Male,Less than 25,1,2,M,1
1229,Male,Less than 25,1,0,F,0
1235,Male,Greater than 45,1,12,F,0
1236,Male,25 - 45,1,,M,0
1237,Male,25 - 45,1,2,M,1
1238,Male,Less than 25,0,4,M,0
1239,Male,25 - 45,1,0,M,1
1241,Male,Less than 25,0,1,F,1
1243,Male,25 - 45,0,10,F,1
1244,Female,25 - 45,0,,F,1
1247,Male,25 - 45,0,3,M,0
1249,Male,Less than 25,0,0,M,1
1250,Male,Greater than 45,0,0,M,0
1251,Male,Greater than 45,0,3,F,1
1255,Female,Greater than 45,0,1,F,0
1256,Male,Greater than 45,0,,F,0
1257,Female,25 - 45,0,0,F,1
1258,Female,25 - 45,1,22,F,1
1259,Male,25 - 45,0,9,M,1
1262,Female,Greater than 45,0,5,M,0
1266,Female,Greater than 45,0,1,M,0
1267,Male,25 - 45,0,0,M,0
1268,Female,25 - 45,0,1,M,0
1269,Male,Less than 25,0,0,F,1
1270,Male,25 - 45,1,0,M,0
1271,Male,25 - 45,0,2,M,0
1272,Male,Less than 25,1,0,F,1
1274,Male,Greater than 45,0,4,F,0
1277,Male,Less than 25,1,0,M,0
1279,Male,25 - 45,0,,M,1
1282,Male,25 - 45,0,0,M,0
1283,Male,25 - 45,0,2,F,1
1284,Female,25 - 45,1,5,F,1
1289,Male,Greater than 45,0,0,M,0
1290,Male,25 - 45,1,1,F,0
1292,Male,Less than 25,0,6,F,1
1293,Male,25 - 45,1,1,F,0
1295,Male,25 - 45,1,0,F,0
1296,Female,Less than 25,1,0,F,1
1297,Male,Greater than 45,0,2,M,0
1298,Male,Greater than 45,0,4,M,0
1300,Male,25 - 45,1,5,F,1
1301,Male,25 - 45,0,0,F,1
1302,Male,25 - 45,0,7,M,1
1303,Male,Greater than 45,0,7,F,1
1304,Male,25 - 45,1,0,M,0
1305,Male,Greater than 45,0,12,M,0
1306,Male,Less than 25,1,0,F,1
1309,Male,25 - 45,0,0,M,0
1311,Male,Less than 25,1,2,F,1
1314,Female,Greater than 45,0,5,F,0
1316,,25 - 45,1,0,F,1
1319,Male,25 - 45,0,2,F,0
1322,Male,25 - 45,1,0,M,0
1325,Female,Greater than 45,1,4,F,0
1327,Female,Less than 25,0,1,M,0
1328,Male,25 - 45,1,6,M,1
1329,Male,Less than 25,1,2,F,1
1331,Male,25 - 45,0,0,F,1
1332,Male,25 - 45,0,2,F,0
1333,Male,Less than 25,1,0,M,0
1334,Male,25 - 45,0,0,F,0
1335,Male,Less than 25,1,6,F,0
1336,Male,25 - 45,1,6,F,0
1338,Male,Less than 25,1,0,F,1
1340,Male,25 - 45,1,3,F,1
1341,Male,25 - 45,1,1,F,1
1345,Male,25 - 45,0,2,M,0
1346,Male,25 - 45,0,6,F,0
1348,Male,25 - 45,1,2,M,0
1349,Male,25 - 45,1,11,M,1
1350,Female,Greater than 45,0,1,M,0
1352,Female,Less than 25,0,0,M,0
1353,Male,25 - 45,1,7,F,1
1354,Male,25 - 45,1,1,M,0
1355,,25 - 45,0,4,F,1
1356,,25 - 45,1,3,M,0
1357,Male,Less than 25,1,2,F,1
1358,Male,25 - 45,0,0,F,1
1359,Male,Less than 25,1,1,M,1
1360,Male,25 - 45,1,0,F,0
1361,Female,Less than 25,1,0,M,0
1363,Female,25 - 45,0,0,M,0
1364,Male,25 - 45,1,1,M,0
1365,Male,Greater than 45,0,0,F,0
1366,Male,Greater than 45,0,17,F,1
1367,Female,Greater than 45,0,0,M,0
1368,Female,25 - 45,1,1,F,0
1369,Male,25 - 45,0,0,M,0
1370,Male,25 - 45,0,10,F,1
1371,Male,25 - 45,1,2,F,1
1376,Male,25 - 45,0,0,F,0
1378,Male,25 - 45,1,0,M,0
1379,Male,Less than 25,1,,F,1
1380,Male,25 - 45,0,0,M,0
1382,Female,25 - 45,1,4,F,0
1383,Male,25 - 45,0,1,M,1
1384,Male,25 - 45,0,7,M,0
1385,Male,Less than 25,0,5,F,1
1387,Male,25 - 45,1,3,F,1
1388,,Less than 25,1,0,F,0
1389,Male,Greater than 45,0,2,M,1
1390,,25 - 45,1,0,F,0
1393,Male,Less than 25,1,1,M,0
1394,Male,25 - 45,1,19,F,1
1395,Female,Greater than 45,0,1,F,0
1396,Male,25 - 45,0,0,F,1
1397,Female,25 - 45,0,0,F,1
1398,Male,Less than 25,1,1,F,1
1401,Male,25 - 45,1,0,F,1
1402,,25 - 45,1,3,F,1
1403,Male,25 - 45,0,2,M,1
1404,Female,25 - 45,1,2,F,0
1405,Male,Less than 25,1,3,F,1
1407,Male,Greater than 45,0,15,F,0
1408,,Greater than 45,0,1,F,1
1410,Male,Greater than 45,0,2,M,0
1411,Male,25 - 45,0,0,M,0
1412,Female,25 - 45,1,0,M,0
1413,Male,25 - 45,0,,F,0
1415,Female,25 - 45,1,8,F,1
1417,Male,25 - 45,0,,F,0
1418,Male,Less than 25,1,1,F,0
1419,Male,Less than 25,1,1,F,0
1420,Male,25 - 45,0,,M,1
1421,,25 - 45,1,3,F,1
1424,,25 - 45,1,20,F,1
1425,Female,25 - 45,1,1,F,1
1426,Male,25 - 45,1,0,M,0
1427,Male,Less than 25,0,,M,1
1428,Male,25 - 45,0,1,F,1
1429,Male,Less than 25,1,0,M,1
1431,Female,25 - 45,0,6,F,1
1432,Female,25 - 45,1,2,M,0
1434,Male,Greater than 45,1,4,M,0
1435,Male,25 - 45,1,,F,1
1436,Male,Greater than 45,0,,F,0
1437,Female,Greater than 45,0,2,F,0
1441,Male,25 - 45,1,,F,1
1443,Male,Less than 25,1,5,F,1
1444,Female,25 - 45,1,3,F,1
1446,Male,25 - 45,1,2,F,0
1447,Male,25 - 45,0,3,F,0
1448,,25 - 45,1,1,M,0
1449,Male,Greater than 45,1,15,M,1
1450,Male,Greater than 45,0,,M,1
1451,Male,Greater than 45,1,3,M,0
1453,,Less than 25,0,1,F,0
1454,Male,25 - 45,0,2,M,1
1455,Male,Less than 25,1,3,F,1
1457,Male,Less than 25,0,3,F,1
1459,,25 - 45,0,6,F,0
1460,Male,25 - 45,1,4,F,1
1461,Male,Less than 25,1,,F,0
1462,Female,25 - 45,0,7,M,0
1463,Male,25 - 45,1,5,F,1
1464,Male,Greater than 45,0,0,M,1
1465,Female,Greater than 45,0,1,F,0
1466,Male,Less than 25,1,1,F,0
1469,Male,25 - 45,1,15,F,1
1471,Male,Greater than 45,0,0,F,0
1472,Female,Less than 25,0,0,F,1
1473,Male,25 - 45,1,5,F,0
1477,Female,25 - 45,0,5,F,0
1479,Male,25 - 45,1,7,F,1
1481,Male,Greater than 45,0,14,M,1
1483,Male,25 - 45,0,5,M,1
1484,Male,Greater than 45,0,0,M,1
1485,Male,25 - 45,1,2,M,0
1486,Male,Less than 25,1,9,F,1
1488,Male,25 - 45,1,2,F,0
1489,Male,25 - 45,1,8,M,1
1490,Male,25 - 45,0,,M,0
1491,Male,25 - 45,1,7,F,0
1494,Female,Less than 25,0,,M,1
1495,Male,25 - 45,1,,F,1
1496,Male,Greater than 45,0,1,M,0
1497,Male,25 - 45,0,0,F,0
1498,Male,25 - 45,0,0,F,0
1499,Male,Less than 25,0,,F,0
1500,Male,Less than 25,0,,F,1
1501,Male,25 - 45,0,4,F,1
1502,,Greater than 45,0,13,F,1
1503,Male,Less than 25,1,5,F,1
1504,Female,25 - 45,0,0,M,0
1505,Male,Greater than 45,0,1,M,0
1506,Male,Greater than 45,0,11,M,0
1508,Male,25 - 45,1,3,F,0
1511,,Greater than 45,0,0,M,0
1512,Male,25 - 45,1,,F,1
1513,Male,Less than 25,0,0,F,1
1514,Female,Less than 25,1,0,F,1
1515,Male,25 - 45,1,7,M,1
1516,Male,25 - 45,1,15,F,0
1518,Male,25 - 45,1,12,F,0
1519,,Greater than 45,1,14,F,1
1521,,25 - 45,1,14,F,1
1522,Male,Greater than 45,0,0,F,0
1524,Male,25 - 45,1,4,F,1
1527,Female,25 - 45,0,1,F,1
1528,Female,25 - 45,1,11,F,0
1529,Male,Greater than 45,0,3,F,0
1530,Female,Less than 25,1,2,M,1
1531,,Greater than 45,1,3,F,0
1532,Male,25 - 45,1,7,M,1
1534,Male,Greater than 45,0,0,M,0
1535,Male,Less than 25,1,0,F,1
1536,Male,Less than 25,1,0,M,1
1537,Male,Greater than 45,0,6,F,1
1540,Female,Greater than 45,0,2,M,1
1541,Male,25 - 45,0,5,F,0
1542,Male,Greater than 45,0,,F,0
1544,Female,25 - 45,0,2,F,1
1545,Female,25 - 45,1,0,M,0
1546,,25 - 45,0,2,M,0
1547,Male,Greater than 45,1,0,F,0
1549,Male,25 - 45,1,14,F,1
1554,Female,Less than 25,1,2,F,1
1556,Male,Less than 25,0,0,F,1
1558,Male,25 - 45,1,3,M,0
1559,Male,25 - 45,1,15,F,1
1560,Male,25 - 45,1,10,F,1
1561,Male,Less than 25,1,0,F,0
1562,Male,25 - 45,0,2,F,1
1563,Female,Greater than 45,0,0,M,0
1564,Female,Greater than 45,0,1,F,0
1566,Male,25 - 45,1,11,F,0
1567,Male,25 - 45,1,2,M,0
1568,Male,Greater than 45,1,15,F,1
1569,Male,25 - 45,1,5,F,0
1570,Female,Less than 25,1,,F,0
1571,Female,Greater than 45,1,1,F,0
1573,Female,Greater than 45,0,1,M,0
1575,Female,25 - 45,1,6,F,0
1576,Male,25 - 45,0,6,F,0
1578,Female,25 - 45,0,1,M,1
1579,Male,Greater than 45,0,0,F,0
1580,Male,25 - 45,0,,M,1
1581,Male,25 - 45,0,1,M,0
1582,Male,25 - 45,1,1,F,0
1583,Male,25 - 45,0,11,F,1
1584,Male,Greater than 45,0,5,F,1
1586,Male,25 - 45,1,12,F,0
1587,Male,25 - 45,0,1,F,0
1588,Male,Greater than 45,1,8,F,1
1589,Female,Less than 25,0,0,F,0
1590,Male,25 - 45,1,0,F,0
1593,Female,Greater than 45,1,1,M,0
1595,Male,Less than 25,1,8,F,1
1597,Male,Greater than 45,1,2,M,0
1599,Male,Less than 25,0,0,F,1
1600,,Less than 25,1,0,F,1
1601,Male,Greater than 45,0,0,M,0
1602,Female,Greater than 45,0,5,M,1
1604,Male,25 - 45,0,9,F,0
1606,Male,25 - 45,1,0,F,0
1607,Male,Greater than 45,0,3,F,1
1608,Male,25 - 45,1,1,M,0
1609,Male,Greater than 45,1,12,F,0
1611,Male,25 - 45,1,,F,0
1612,Male,Greater than 45,1,8,F,0
1614,Male,25 - 45,0,9,M,0
1615,Male,Greater than 45,1,8,F,1
1617,Male,25 - 45,1,13,F,1
1618,Male,25 - 45,0,,F,1
1619,Male,25 - 45,1,0,F,0
1620,Male,25 - 45,1,8,M,1
1621,Male,25 - 45,1,1,F,0
1623,Male,Greater than 45,0,0,M,0
1625,Female,25 - 45,0,7,M,0
1627,Female,Greater than 45,0,,M,1
1629,Male,25 - 45,1,8,F,1
1630,Female,25 - 45,0,6,F,1
1631,Female,Less than 25,1,2,F,1
1632,Male,Less than 25,0,0,F,0
1635,Male,Greater than 45,0,2,M,0
1636,,Greater than 45,0,3,F,1
1637,Male,Less than 25,1,0,F,0
1639,Female,25 - 45,1,7,F,1
1640,Male,Less than 25,0,0,M,1
1641,Male,25 - 45,1,5,M,0
1642,Male,Less than 25,1,,F,1
1644,Male,25 - 45,1,21,F,1
1645,Male,Less than 25,1,13,F,1
1646,Male,25 - 45,1,23,F,1
1648,,Less than 25,1,1,F,0
1651,,25 - 45,1,24,F,1
1652,,25 - 45,1,5,F,1
1653,Female,Less than 25,1,1,F,0
1654,Male,Greater than 45,1,19,F,0
1656,Male,25 - 45,0,0,F,0
1657,Male,Greater than 45,0,0,M,0
1659,Male,25 - 45,1,0,M,1
1661,,25 - 45,1,6,M,0
1662,Male,Less than 25,0,0,M,1
1663,Male,Greater than 45,0,1,F,1
1665,Female,25 - 45,1,0,M,0
1666,Male,Greater than 45,0,1,M,0
1668,,Less than 25,0,0,F,0
1669,Male,Greater than 45,0,1,F,0
1670,Male,25 - 45,1,6,F,1
1671,Male,25 - 45,1,24,F,0
1672,Male,25 - 45,0,13,F,1
1673,Male,Greater than 45,1,0,F,0
1674,Male,25 - 45,1,1,F,1
1675,Male,Greater than 45,1,1,M,0
1676,Male,25 - 45,0,0,F,0
1677,Female,Greater than 45,0,8,F,0
1678,,Less than 25,1,0,F,0
1680,Male,Less than 25,0,0,F,1
1681,Female,25 - 45,0,2,F,1
1684,Male,25 - 45,1,2,M,0
1685,Male,25 - 45,0,1,M,0
1687,Male,25 - 45,0,0,M,0
1689,Female,25 - 45,1,2,F,1
1690,Female,25 - 45,0,,F,1
1691,Male,Less than 25,0,2,F,0
1692,Female,25 - 45,0,1,F,1
1693,Male,Less than 25,0,1,F,1
1695,Female,25 - 45,1,0,M,0
1696,Male,Greater than 45,0,1,F,0
1697,Male,25 - 45,1,7,F,1
1698,Male,Greater than 45,0,5,M,0
1699,Female,25 - 45,0,4,F,0
1700,Male,Less than 25,1,3,F,0
1701,Male,25 - 45,0,1,F,0
1705,Male,25 - 45,0,0,M,1
1707,Male,Greater than 45,1,1,F,0
1711,Male,25 - 45,1,7,F,1
1713,Male,25 - 45,1,10,F,0
1714,Female,Greater than 45,0,0,M,0
1716,Male,25 - 45,1,9,F,0
1717,Male,Greater than 45,1,1,F,0
1718,Female,25 - 45,1,,M,0
1719,Male,25 - 45,1,1,F,0
1720,Male,Greater than 45,0,0,F,0
1721,Male,25 - 45,0,6,F,0
1722,Male,Greater than 45,1,0,F,0
1724,Male,25 - 45,1,27,F,1
1725,,25 - 45,1,3,F,0
1726,Male,25 - 45,1,7,M,1
1727,Male,25 - 45,0,1,F,1
1728,Male,25 - 45,1,8,F,0
1729,Male,Greater than 45,1,0,F,1
1731,Male,25 - 45,1,8,F,0
1732,Male,Greater than 45,0,4,F,0
1733,Male,Greater than 45,1,15,F,1
1734,Male,25 - 45,0,7,F,1
1735,Male,25 - 45,0,7,F,1
1736,Male,Less than 25,0,0,M,0
1737,Male,25 - 45,1,0,M,0
1740,Male,25 - 45,0,,F,0
1741,Male,25 - 45,0,1,M,1
1743,Male,Greater than 45,0,1,F,0
1744,Female,25 - 45,1,0,F,0
1746,Male,25 - 45,1,5,F,0
1747,Male,25 - 45,1,3,M,0
1749,Male,Greater than 45,0,1,F,0
1750,Male,Greater than 45,1,,M,0
1751,Male,25 - 45,0,2,F,0
1752,,25 - 45,0,11,F,1
1753,Male,Less than 25,1,2,F,0
1756,Male,Less than 25,0,0,F,0
1757,Female,25 - 45,0,3,F,0
1758,Male,Greater than 45,0,4,M,0
1760,Male,25 - 45,1,5,F,1
1761,Male,Less than 25,1,1,F,0
1762,Male,25 - 45,0,2,F,1
1763,Male,Less than 25,0,2,F,0
1765,Female,25 - 45,0,0,M,0
1766,Male,25 - 45,1,,F,0
1767,Male,25 - 45,1,1,F,0
1769,Male,Greater than 45,0,0,M,0
1770,Female,Less than 25,1,0,F,0
1771,Female,25 - 45,1,1,M,0
1772,Male,Greater than 45,0,0,M,0
1774,Female,25 - 45,1,2,M,0
1775,,Greater than 45,0,,F,1
1776,Male,Greater than 45,1,0,M,0
1778,Male,25 - 45,1,2,F,0
1780,Female,Greater than 45,0,0,F,1
1782,,Greater than 45,1,3,F,0
1783,Male,25 - 45,1,0,F,1
1785,Male,25 - 45,0,6,F,0
1786,Male,25 - 45,1,5,M,0
1787,Male,25 - 45,0,0,F,1
1788,Male,25 - 45,0,4,M,0
1790,Male,25 - 45,0,5,F,1
1792,Male,Less than 25,1,1,F,1
1796,Male,25 - 45,1,4,F,1
1797,Male,Greater than 45,0,6,F,1
1803,Male,25 - 45,1,13,F,1
1804,Male,25 - 45,0,14,F,1
1805,Male,25 - 45,1,9,F,1
1807,Male,25 - 45,1,8,F,1
1808,Female,25 - 45,0,3,F,1
1809,Male,25 - 45,0,0,F,0
1810,Male,Greater than 45,0,,M,1
1811,Male,Less than 25,0,,F,1
1812,Male,25 - 45,0,0,M,0
1813,Male,25 - 45,1,7,M,0
1814,Male,25 - 45,1,5,F,0
1816,Male,Greater than 45,0,0,M,0
1817,Male,25 - 45,1,5,F,1
1818,Female,25 - 45,0,0,M,0
1819,Male,25 - 45,1,0,F,0
1820,Male,25 - 45,0,6,M,0
1821,Male,25 - 45,1,2,F,0
1822,Male,Less than 25,1,3,F,1
1823,Male,25 - 45,0,2,M,0
1824,Female,25 - 45,1,0,M,0
1825,,25 - 45,1,8,F,1
1826,Male,Greater than 45,0,2,M,1
1828,Male,25 - 45,0,3,M,0
1829,Male,Less than 25,1,2,M,1
1830,Female,Greater than 45,1,14,M,1
1831,,25 - 45,0,9,M,1
1832,Male,25 - 45,0,,M,0
1833,,25 - 45,1,1,M,0
1834,Female,Greater than 45,0,3,F,0
1835,Male,Greater than 45,0,0,M,0
1839,Male,Greater than 45,0,0,F,0
1841,Male,25 - 45,0,0,M,0
1844,Male,25 - 45,0,4,M,1
1846,Male,Less than 25,1,0,M,0
1847,Male,25 - 45,0,0,M,0
1849,Male,Greater than 45,1,,F,0
1852,Male,Less than 25,1,,F,0
1853,Male,25 - 45,1,8,M,1
1854,Male,25 - 45,0,,M,1
1855,Male,25 - 45,0,1,F,0
1856,Male,Less than 25,1,0,F,1
1857,Male,Greater than 45,0,0,M,0
1858,Female,25 - 45,0,3,F,0
1860,Male,Less than 25,0,1,F,1
1861,Female,Less than 25,1,0,M,1
1863,Male,Greater than 45,1,4,F,0
1865,Male,25 - 45,0,10,F,1
1867,Female,Greater than 45,1,3,M,0
1868,Male,Less than 25,0,3,M,0
1869,Male,Less than 25,1,0,F,1
1870,Male,25 - 45,0,0,M,0
1872,,Greater than 45,0,10,F,1
1873,Male,25 - 45,0,1,F,1
1874,Male,Less than 25,0,0,M,1
1876,Male,25 - 45,1,0,F,0
1878,Female,25 - 45,1,1,M,1
1879,Male,25 - 45,1,6,F,0
1880,Male,25 - 45,1,2,F,0
1881,Male,25 - 45,0,11,F,1
1885,Male,25 - 45,1,7,F,1
1886,Male,Less than 25,1,2,F,1
1887,Male,25 - 45,0,0,F,0
1888,Male,Less than 25,0,0,M,0
1891,Male,Less than 25,1,0,F,1
1892,Male,25 - 45,0,15,F,1
1893,Male,25 - 45,1,2,M,1
1895,Female,Less than 25,1,4,M,1
1896,Male,25 - 45,0,0,M,0
1897,Male,Greater than 45,0,,F,0
1898,Male,25 - 45,0,5,F,1
1899,,25 - 45,1,14,F,1
1901,,25 - 45,1,9,F,1
1903,Female,Greater than 45,1,21,F,1
1905,Male,Greater than 45,1,1,F,0
1906,,25 - 45,1,4,F,0
1907,Male,25 - 45,1,5,F,1
1908,Male,25 - 45,0,1,F,1
1909,Female,25 - 45,0,0,M,0
1910,Male,25 - 45,0,11,F,1
1911,Male,Less than 25,1,3,M,0
1912,Male,25 - 45,1,6,F,1
1913,Male,25 - 45,0,0,M,0
1914,Male,25 - 45,1,,F,1
1915,Male,Less than 25,1,3,F,1
1916,Male,Less than 25,1,0,F,0
1917,Male,25 - 45,0,0,M,0
1919,Male,25 - 45,1,18,M,0
1921,Male,25 - 45,0,2,F,1
1922,Male,25 - 45,0,3,M,0
1928,,25 - 45,1,7,F,1
1929,Male,25 - 45,1,1,M,0
1930,Male,Less than 25,0,0,F,0
1932,Male,25 - 45,1,0,F,0
1933,,25 - 45,1,2,F,0
1934,Male,25 - 45,1,8,F,1
1935,Male,25 - 45,1,1,F,1
1936,Male,Greater than 45,0,0,M,0
1938,Male,Less than 25,0,0,F,1
1939,Male,25 - 45,1,1,F,0
1940,Female,Less than 25,1,6,M,0
1941,Male,25 - 45,0,0,F,0
1942,Male,25 - 45,0,1,F,0
1943,Male,Greater than 45,0,1,F,1
1944,Male,25 - 45,1,0,F,0
1945,Male,Less than 25,1,0,F,0
1946,Male,Less than 25,0,0,F,0
1947,Male,25 - 45,1,1,M,0
1948,Male,Greater than 45,0,9,M,0
1950,Male,25 - 45,1,0,F,1
1951,Male,25 - 45,1,1,M,0
1952,Male,25 - 45,0,0,F,0
1953,Male,Less than 25,0,1,F,1
1956,Male,Greater than 45,0,,M,1
1960,Male,Greater than 45,1,8,F,1
1961,Male,25 - 45,1,5,M,0
1963,Male,25 - 45,1,9,F,0
1965,Female,25 - 45,0,0,F,0
1967,Male,Greater than 45,0,0,F,1
1968,,Greater than 45,0,2,F,0
1969,Male,Greater than 45,0,0,M,0
1970,Male,Greater than 45,1,4,F,1
1971,Female,25 - 45,1,0,F,0
1973,Male,Greater than 45,1,16,F,0
1975,Male,25 - 45,1,21,F,1
1977,Male,25 - 45,1,,F,0
1978,Male,25 - 45,1,8,F,1
1980,Male,25 - 45,0,1,M,1
1982,Male,Greater than 45,0,0,M,0
1984,Male,Greater than 45,0,1,M,1
1985,Male,Greater than 45,0,0,M,1
1986,Male,Greater than 45,1,,F,0
1988,Male,25 - 45,1,4,M,0
1989,Male,25 - 45,1,14,F,1
1990,Male,25 - 45,1,2,F,0
1991,Male,Greater than 45,1,5,F,1
1992,Male,25 - 45,1,0,F,1
1994,Male,25 - 45,0,7,F,1
1995,Male,25 - 45,1,,F,0
1997,,25 - 45,1,,M,0
1998,Male,25 - 45,0,,F,0
1999,Female,25 - 45,1,0,M,0
2001,Female,Greater than 45,0,7,M,0
2002,Male,25 - 45,0,1,F,1
2004,Male,25 - 45,0,0,M,1
2007,Male,25 - 45,1,4,F,0
2011,Male,25 - 45,1,0,F,0
2012,Male,25 - 45,1,4,F,1
2014,Male,25 - 45,0,1,M,0
2015,Female,25 - 45,1,1,F,0
2016,Male,25 - 45,1,13,M,1
2017,Male,25 - 45,1,9,F,0
2018,Male,25 - 45,0,1,F,0
2020,,25 - 45,0,,F,0
2021,Male,Greater than 45,0,5,M,0
2022,,25 - 45,0,1,M,0
2024,Female,Greater than 45,1,7,M,0
2025,Male,Less than 25,1,0,F,0
2027,Male,25 - 45,1,2,F,1
2028,Female,Less than 25,1,0,M,0
2029,,25 - 45,1,1,F,0
2030,Female,Less than 25,0,1,F,0
2033,Male,25 - 45,1,2,F,0
2035,Male,Greater than 45,0,0,M,0
2036,Male,Less than 25,0,0,M,1
2037,Male,25 - 45,1,6,M,0
2042,Male,Less than 25,1,1,F,1
2046,Male,Greater than 45,0,2,M,0
2047,Male,Greater than 45,1,1,F,0
2051,Male,Less than 25,1,1,M,1
2052,Male,25 - 45,1,7,F,0
2053,Female,25 - 45,0,0,M,0
2054,Male,Greater than 45,0,2,M,0
2057,Male,25 - 45,0,,F,1
2058,Male,Greater than 45,1,38,F,1
2059,Male,25 - 45,1,7,F,1
2061,Female,25 - 45,0,7,F,0
2062,Male,25 - 45,0,0,F,0
2065,Male,Greater than 45,0,4,F,0
2066,Male,Less than 25,0,0,F,0
2068,Male,25 - 45,0,0,F,0
2071,Male,25 - 45,0,7,M,1
2072,Male,25 - 45,0,0,M,0
2073,Male,25 - 45,1,13,F,1
2074,Male,25 - 45,0,2,F,1
2075,Male,Less than 25,0,0,F,1
2076,,25 - 45,1,,F,1
2077,Male,Greater than 45,0,0,M,0
2080,Male,Greater than 45,0,1,M,1
2083,Male,Less than 25,0,5,F,1
2084,,Less than 25,0,0,F,1
2086,Male,25 - 45,1,1,F,1
2087,Female,25 - 45,0,2,F,0
2091,Male,25 - 45,1,4,F,0
2092,Male,25 - 45,0,0,M,0
2095,Male,25 - 45,1,1,F,1
2096,Female,Less than 25,0,0,F,0
2098,Male,Greater than 45,0,2,M,0
2103,Male,25 - 45,1,0,F,1
2105,Male,Greater than 45,0,0,M,0
2106,Male,25 - 45,0,0,F,0
2108,Male,25 - 45,1,6,F,0
2109,Male,Greater than 45,0,,F,1
2110,Male,Less than 25,1,0,F,1
2112,Male,25 - 45,0,,F,1
2113,Male,25 - 45,0,2,F,0
2114,Female,Greater than 45,1,4,F,0
2115,Female,Greater than 45,1,0,F,0
2116,Male,25 - 45,0,8,F,0
2118,Male,25 - 45,0,,M,0
2121,Male,Less than 25,1,2,F,0
2122,Female,Greater than 45,1,1,F,1
2123,Male,25 - 45,0,0,M,0
2124,Male,25 - 45,0,1,F,0
2125,Male,Greater than 45,0,11,F,1
2126,Male,Greater than 45,0,2,F,0
2129,Male,Greater than 45,1,21,F,1
2130,,Greater than 45,0,1,F,0
2132,Female,Greater than 45,0,0,F,0
2134,Male,25 - 45,0,5,M,1
